City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,maumere,-8.6199,122.2111,26.470000000000027,84,97,2.34,ID,1713735434
270,qrendi,35.8347,14.4583,15.060000000000002,82,20,3.09,MT,1713735435
271,christchurch,-43.5333,172.6333,15.510000000000048,83,40,5.14,NZ,1713735435
272,tazacorte,28.629,-17.9293,19.54000000000002,79,100,4.12,ES,1713735436
273,lockwood,45.8191,-108.4149,21.340000000000032,25,100,5.66,US,1713735437
274,nova sintra,14.8667,-24.7167,22.850000000000023,72,11,7.37,CV,1713735437
275,opochka,56.7105,28.6617,5.610000000000014,93,100,5.73,RU,1713735438
276,huarmey,-10.0681,-78.1522,22.379999999999995,79,87,3.68,PE,1713735445
277,santa vitoria do palmar,-33.5189,-53.3681,19.03000000000003,91,99,3.85,BR,1713735445
278,gemena,3.25,19.7667,27.28000000000003,61,100,0.91,CD,1713735447
279,dul'durga,50.6761,113.5931,2.390000000000043,95,100,3.38,RU,1713735447
280,candido mendes,-1.4467,-45.7167,24.450000000000045,97,100,1.0,BR,1713735448
281,anadyr,64.75,177.4833,-9.439999999999998,61,100,9.83,RU,1713735448
282,puerto ayacucho,5.6639,-67.6236,28.74000000000001,78,82,2.99,VE,1713735448
283,tamworth,52.634,-1.6959,7.689999999999998,70,52,1.96,GB,1713735449
284,hami,42.8,93.45,13.620000000000005,13,51,9.74,CN,1713735449
285,buenaventura,3.8801,-77.0312,24.710000000000036,93,100,0.98,CO,1713735450
286,thinadhoo,0.5333,72.9333,28.99000000000001,72,79,1.09,MV,1713735450
287,lebu,-37.6167,-73.65,14.120000000000005,78,100,6.61,CL,1713735450
288,salinas,36.6777,-121.6555,28.650000000000034,64,0,6.17,US,1713735451
289,teknaf,20.8624,92.3058,27.890000000000043,83,97,2.0,BD,1713735451
290,puerto deseado,-47.7503,-65.8938,7.82000000000005,58,6,4.75,AR,1713735458
291,lazaro cardenas,17.9583,-102.2,28.090000000000032,57,0,4.97,MX,1713735459
292,port douglas,-16.4833,145.4667,25.0,75,96,5.38,AU,1713735460
293,ves'yegonsk,58.664,37.2604,9.180000000000007,67,97,5.39,RU,1713735461
294,northam,51.0333,-4.2167,7.560000000000002,84,98,2.02,GB,1713735461
295,aasiaat,68.7098,-52.8699,0.5,93,100,2.79,GL,1713735461
296,ubari,26.5921,12.7805,29.200000000000045,10,100,6.22,LY,1713735469
297,galle,6.0367,80.217,27.150000000000034,84,73,1.76,LK,1713735338
298,punta cardon,11.6581,-70.215,28.05000000000001,72,82,11.91,VE,1713735470
299,manga,11.6636,-1.0731,33.710000000000036,37,93,6.56,BF,1713735471
300,pangoa,-12.1167,-73.0,27.78000000000003,73,43,0.68,PE,1713735471
301,gamba,-2.65,10.0,25.640000000000043,93,86,3.19,GA,1713735472
302,voi,-3.3945,38.563,22.420000000000016,82,100,2.64,KE,1713735472
303,yarmouth,41.7057,-70.2286,10.54000000000002,63,0,7.72,US,1713735246
